"CodHorario","MomentoInicial","MomentoFinal","Informe",
"1","21/10/2000 21:09:35","21/10/2000 21:10:13","Semillas del generador de números aleatorios:\n\r  Semilla 1: 1153565110\n\r  Semilla 2: -783600947\n\r  Semilla 3: -971606276\n\r  Semilla 4: -192485375\n\rPesos:\n\r  Cruce de profesores            305,00\n\r  Fracc. h. profesores            15,00\n\r  Cruce de aulas:                 65,00\n\r  Horas Huecas desubicadas:       95,00\n\r  Materias cortadas:             150,00\n\r  Materias no dispersas:           1,00\n\rParámetros: 5; 2000; 0,3; 0,2; 3; 0,2; 0,1\n\rNúmero de generaciones:        17 \n\rDetalle                     Cant.    Valor\n\rCruce de profesores:            0     0,00\n\rFracc. h. profesores:         138  2070,00\n\rCruce de aulas:                 0     0,00\n\rHoras Huecas desubicadas:       2   190,00\n\rMaterias cortadas:              3   450,00\n\rMaterias no dispersas:         82    82,00\n\rProhibiciones de materia:       5   250,00\n\rProhibiciones de profesor:      1   500,00\n\r\n\rValor Total:                       3542,00\n\r",
"3","15/11/2009 1:42:06","15/11/2009 1:55:27","Semillas del generador de números aleatorios:\n\r  Semilla 1: 1257295429\n\r  Semilla 2: -881002808\n\r  Semilla 3: -986080274\n\r  Semilla 4: -513294335\n\rPesos:\n\r  Cruce de profesores            305,00\n\r  Fracc. h. profesores            15,00\n\r  Cruce de aulas:                 65,00\n\r  Horas Huecas desubicadas:       95,00\n\r  Materias cortadas:             150,00\n\r  Materias no dispersas:           1,00\n\rParámetros: 5; 20000; 0,3; 0,2; 3; 0,2; 0,1\n\rNúmero de generaciones:     20000 \n\rDetalle                     Cant.    Valor\n\rCruce de profesores:            0     0,00\n\rFracc. h. profesores:         115  1725,00\n\rCruce de aulas:                 0     0,00\n\rHoras Huecas desubicadas:       0     0,00\n\rMaterias cortadas:              0     0,00\n\rMaterias no dispersas:         70    70,00\n\rProhibiciones de materia:       0     0,00\n\rProhibiciones de profesor:      0     0,00\n\r\n\rValor Total:                       1795,00\n\r",
