"CodHora","NomHora","Intervalo",
"1","Primera","08:00-08:40",
"2","Segunda","08:40-09:20",
"3","Tercera","09:20-10:00",
"4","Cuarta","10:00-10:40",
"5","Recreo1","10:40-10:55",
"6","Quinta","10:55-11:35",
"7","Sexta","11:35-12:15",
"8","Séptima","12:15-12:55",
"9","Recreo2","12:55-13:40",
"10","Octava","13:40-14:20",
"11","Novena","14:20-15:00",
