"CodProfesor","CodDia","CodHora","CodProfProhibicionTipo",
"44","4","1","3",
"44","4","6","2",
"44","4","7","3",
"44","5","1","3",
"44","5","6","2",
"44","5","7","3",
"44","6","1","3",
"44","6","6","2",
"44","6","7","3",
"45","2","1","3",
"45","2","7","3",
"45","3","1","3",
"45","3","7","3",
"45","4","1","3",
"45","4","7","3",
"45","5","1","3",
"45","5","7","3",
"45","6","1","3",
"45","6","7","3",
"46","2","1","3",
"46","2","7","3",
"46","3","1","3",
"46","3","7","3",
"46","4","1","3",
"46","4","7","3",
"46","5","1","3",
"46","5","7","3",
"46","6","1","3",
"46","6","7","3",
"47","2","1","3",
"47","2","6","2",
"47","2","7","3",
"47","3","1","3",
"47","3","6","2",
"47","3","7","3",
"47","4","1","3",
"47","4","6","2",
"47","4","7","3",
"47","5","1","3",
"47","5","6","2",
"47","5","7","3",
"47","6","1","3",
"47","6","6","2",
"47","6","7","3",
"48","2","7","2",
"48","3","7","2",
"48","4","7","2",
"48","5","7","2",
"48","6","7","2",
"49","2","7","2",
"49","3","7","2",
"49","4","7","2",
"49","5","7","2",
"49","6","7","2",
"51","5","1","2",
"51","5","2","2",
"51","5","3","2",
"51","5","5","2",
"51","6","1","2",
"51","6","2","2",
"51","6","3","2",
"51","6","5","2",
